No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas
A;Kabupaten;;;;;
1;PACITAN;187;2.644;2.792;5.622;TINGGI
2;PONOROGO;705;15.443;9.394;25.542;TINGGI
3;TRENGGALEK;334;7.390;6.609;14.333;TINGGI
4;TULUNGAGUNG;944;17.815;18.159;36.918;TINGGI
5;BLITAR;291;9.184;5.637;15.112;TINGGI
6;KEDIRI;927;21.251;10.899;33.078;TINGGI
7;MALANG;77;10.695;6.610;17.381;TINGGI
8;LUMAJANG;1.110;18.850;12.737;32.697;TINGGI
9;JEMBER;2.697;42.105;33.968;78.769;TINGGI
10;BANYUWANGI;1.104;55.583;21.254;77.940;TINGGI
11;BONDOWOSO;34;6.718;2.055;8.806;SEDANG
12;SITUBONDO;582;17.419;6.628;24.629;SEDANG
13;PROBOLINGGO;430;15.862;7.911;24.203;TINGGI
14;PASURUAN;459;15.596;12.349;28.404;TINGGI
15;SIDOARJO;751;24.228;37.300;62.279;TINGGI
16;MOJOKERTO;259;10.004;9.590;19.852;TINGGI
17;JOMBANG;1.533;27.876;25.305;54.714;TINGGI
18;NGANJUK;1.571;29.640;24.346;55.557;TINGGI
19;MADIUN;658;17.956;11.774;30.387;TINGGI
20;MAGETAN;177;7.128;3.851;11.156;TINGGI
21;NGAWI;1.110;25.286;16.001;42.397;TINGGI
22;BOJONEGORO;1.586;41.455;39.689;82.731;TINGGI
23;TUBAN;431;25.501;26.632;52.564;TINGGI
24;LAMONGAN;1.412;39.360;52.884;93.657;TINGGI
25;GRESIK;1.079;28.085;37.171;66.334;TINGGI
26;BANGKALAN;334;13.245;11.886;25.465;TINGGI
27;SAMPANG;211;13.279;16.486;29.976;TINGGI
28;PAMEKASAN;190;8.654;8.195;17.039;TINGGI
29;SUMENEP;674;22.155;18.078;40.908;TINGGI
B;Kota;;;;;
1;KOTA KEDIRI;27;1.921;1.147;3.095;SEDANG
2;KOTA BLITAR;1;370;68;440;SEDANG
3;KOTA MALANG;6;1.512;953;2.472;TINGGI
4;KOTA PROBOLINGGO;51;2.197;809;3.058;SEDANG
5;KOTA PASURUAN;125;1.828;1.394;3.347;TINGGI
6;KOTA MOJOKERTO;44;759;844;1.647;TINGGI
7;KOTA MADIUN;102;1.481;973;2.556;TINGGI
8;KOTA SURABAYA;625;15.244;11.735;27.604;TINGGI
9;KOTA BATU;0;156;71;227;TINGGI
;Provinsi Jawa Timur;22.836;615.874;514.187;1.152.896;TINGGI
