No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya Bahaya
A;Kabupaten;;;;;
1;PACITAN;95.147;3.638;2.930;101.714;RENDAH
2;PONOROGO;22.601;7.284;41.702;71.588;TINGGI
3;TRENGGALEK;41.150;4.312;12.556;58.018;TINGGI
4;TULUNGAGUNG;44.407;5.493;40.244;90.145;TINGGI
5;BLITAR;61.110;32.438;27.086;120.634;TINGGI
6;KEDIRI;28.914;9.278;90.347;128.539;TINGGI
7;MALANG;142.240;27.182;91.968;261.390;TINGGI
8;LUMAJANG;32.425;24.862;77.763;135.050;TINGGI
9;JEMBER;77.024;24.086;128.790;229.900;TINGGI
10;BANYUWANGI;230.612;65.578;174.649;470.839;TINGGI
11;BONDOWOSO;50.194;13.967;43.834;107.995;TINGGI
12;SITUBONDO;49.587;21.793;42.666;114.047;TINGGI
13;PROBOLINGGO;38.635;19.868;55.720;114.223;TINGGI
14;PASURUAN;26.299;16.837;66.431;109.567;TINGGI
15;SIDOARJO;208;446;62.784;63.438;TINGGI
16;MOJOKERTO;9.797;5.147;40.736;55.680;TINGGI
17;JOMBANG;27.619;4.346;72.989;104.954;TINGGI
18;NGANJUK;46.466;7.063;60.628;114.158;TINGGI
19;MADIUN;50.585;6.263;43.055;99.903;TINGGI
20;MAGETAN;11.396;3.291;43.546;58.233;TINGGI
21;NGAWI;37.793;16.488;69.873;124.153;TINGGI
22;BOJONEGORO;88.238;23.866;107.775;219.879;TINGGI
23;TUBAN;72.013;28.674;82.728;183.415;TINGGI
24;LAMONGAN;31.230;23.443;123.532;178.205;TINGGI
25;GRESIK;4.299;10.532;90.477;105.308;TINGGI
26;BANGKALAN;22.912;55.605;21.627;100.144;TINGGI
27;SAMPANG;44.560;64.836;13.912;123.308;TINGGI
28;PAMEKASAN;29.768;37.584;11.873;79.224;TINGGI
29;SUMENEP;109.765;78.121;11.968;199.854;TINGGI
B;Kota;;;;;
1;KOTA KEDIRI;408;163;5.768;6.340;TINGGI
2;KOTA BLITAR;0;10;3.247;3.257;TINGGI
3;KOTA MALANG;13;158;14.357;14.528;TINGGI
4;KOTA PROBOLINGGO;3;284;5.380;5.667;TINGGI
5;KOTA PASURUAN;0;12;3.517;3.529;TINGGI
6;KOTA MOJOKERTO;0;0;1.647;1.647;TINGGI
7;KOTA MADIUN;0;0;3.329;3.329;TINGGI
8;KOTA SURABAYA;3;249;34.802;35.054;TINGGI
9;KOTA BATU;3.450;1.309;2.215;6.974;TINGGI
;Provinsi Jawa Timur;1.530.872;644.507;1.828.450;4.003.829;TINGGI
