No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas
A;Kabupaten;;;;;
1;PACITAN;1.642;0;0;1.642;RENDAH
2;TRENGGALEK;2.022;0;0;2.022;RENDAH
3;TULUNGAGUNG;821;0;0;821;RENDAH
4;BLITAR;731;0;0;731;RENDAH
5;MALANG;2.207;144;0;2.351;RENDAH
6;LUMAJANG;145;0;652;797;TINGGI
7;JEMBER;2.422;291;149;2.862;TINGGI
8;BANYUWANGI;5.288;893;2.041;8.222;TINGGI
9;SITUBONDO;418;289;1.904;2.612;TINGGI
10;PROBOLINGGO;809;89;355;1.254;TINGGI
11;PASURUAN;224;42;262;528;TINGGI
12;SIDOARJO;713;0;0;713;RENDAH
13;TUBAN;1.109;0;0;1.109;RENDAH
14;LAMONGAN;743;0;0;743;RENDAH
15;GRESIK;1.696;381;875;2.952;TINGGI
16;BANGKALAN;1.163;76;536;1.775;TINGGI
17;SAMPANG;729;44;975;1.748;TINGGI
18;PAMEKASAN;526;36;475;1.038;TINGGI
19;SUMENEP;8.832;2.001;5.316;16.149;TINGGI
B;Kota;;;;;
1;KOTA PROBOLINGGO;103;29;75;207;TINGGI
2;KOTA PASURUAN;90;4;18;111;RENDAH
3;KOTA SURABAYA;586;57;302;946;TINGGI
;Provinsi Jawa Timur;33.020;4.377;13.936;51.333;TINGGI
