No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas
A;Kabupaten;;;;;
1;PACITAN;97.692;38.204;3.096;138.992;SEDANG
2;PONOROGO;67.090;49.603;13.877;130.570;TINGGI
3;TRENGGALEK;50.247;53.625;10.850;114.722;TINGGI
4;TULUNGAGUNG;36.052;46.763;22.751;105.565;TINGGI
5;BLITAR;46.023;71.232;16.392;133.648;TINGGI
6;KEDIRI;42.156;94.893;1.556;138.605;SEDANG
7;MALANG;193.315;138.598;21.152;353.065;TINGGI
8;LUMAJANG;90.351;85.484;3.254;179.090;SEDANG
9;JEMBER;172.055;126.263;10.915;309.234;SEDANG
10;BANYUWANGI;308.890;233.553;35.797;578.240;SEDANG
11;BONDOWOSO;131.849;20.748;0;152.597;SEDANG
12;SITUBONDO;160.032;6.955;0;166.987;RENDAH
13;PROBOLINGGO;161.387;8.234;0;169.621;RENDAH
14;PASURUAN;130.355;17.047;0;147.402;SEDANG
15;SIDOARJO;55.601;7.837;0;63.438;SEDANG
16;MOJOKERTO;47.918;23.865;0;71.783;SEDANG
17;JOMBANG;46.950;64.559;0;111.509;SEDANG
18;NGANJUK;54.277;68.148;0;122.425;SEDANG
19;MADIUN;50.738;53.018;2;103.758;SEDANG
20;MAGETAN;28.024;40.860;0;68.884;SEDANG
21;NGAWI;66.585;63.013;0;129.598;SEDANG
22;BOJONEGORO;181.218;38.661;0;219.879;SEDANG
23;TUBAN;183.415;0;0;183.415;RENDAH
24;LAMONGAN;155.372;22.833;0;178.205;SEDANG
25;GRESIK;105.211;13.914;0;119.125;SEDANG
26;BANGKALAN;100.144;0;0;100.144;RENDAH
27;SAMPANG;123.308;0;0;123.308;RENDAH
28;PAMEKASAN;79.224;0;0;79.224;RENDAH
29;SUMENEP;199.854;0;0;199.854;RENDAH
B;Kota;;;;;
1;KOTA KEDIRI;458;5.882;0;6.340;SEDANG
2;KOTA BLITAR;32;1.425;1.801;3.257;TINGGI
3;KOTA MALANG;2.355;12.173;0;14.528;SEDANG
4;KOTA PROBOLINGGO;5.359;308;0;5.667;RENDAH
5;KOTA PASURUAN;3.524;5;0;3.529;RENDAH
6;KOTA MOJOKERTO;184;1.463;0;1.647;SEDANG
7;KOTA MADIUN;88;3.241;0;3.329;SEDANG
8;KOTA SURABAYA;34.835;219;0;35.054;RENDAH
9;KOTA BATU;13.059;615;0;13.674;RENDAH
;Provinsi Jawa Timur;3.225.228;1.413.240;141.444;4.779.912;TINGGI
