No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya
A;Kabupaten;;;;;
1;PACITAN;0;138.992;0;138.992;SEDANG
2;PONOROGO;0;130.570;0;130.570;SEDANG
3;TRENGGALEK;0;114.722;0;114.722;SEDANG
4;TULUNGAGUNG;0;105.565;0;105.565;SEDANG
5;BLITAR;0;133.648;0;133.648;SEDANG
6;KEDIRI;0;138.605;0;138.605;SEDANG
7;MALANG;187.403;165.662;0;353.065;SEDANG
8;LUMAJANG;86.959;92.131;0;179.090;SEDANG
9;JEMBER;0;309.234;0;309.234;SEDANG
10;BANYUWANGI;0;491.247;86.993;578.240;TINGGI
11;BONDOWOSO;0;145.782;6.815;152.597;SEDANG
12;SITUBONDO;0;81.680;85.307;166.987;TINGGI
13;PROBOLINGGO;58.800;110.821;0;169.621;SEDANG
14;PASURUAN;11.164;136.238;0;147.402;SEDANG
15;SIDOARJO;14.316;49.122;0;63.438;SEDANG
16;MOJOKERTO;19.827;51.956;0;71.783;SEDANG
17;JOMBANG;0;111.509;0;111.509;SEDANG
18;NGANJUK;0;122.425;0;122.425;SEDANG
19;MADIUN;0;103.758;0;103.758;SEDANG
20;MAGETAN;0;68.884;0;68.884;SEDANG
21;NGAWI;0;129.598;0;129.598;SEDANG
22;BOJONEGORO;0;219.879;0;219.879;SEDANG
23;TUBAN;0;183.415;0;183.415;SEDANG
24;LAMONGAN;0;178.205;0;178.205;SEDANG
25;GRESIK;13.715;86.272;19.138;119.125;TINGGI
26;BANGKALAN;0;100.144;0;100.144;SEDANG
27;SAMPANG;0;123.308;0;123.308;SEDANG
28;PAMEKASAN;0;74.874;4.350;79.224;TINGGI
29;SUMENEP;0;29.404;170.450;199.854;TINGGI
B;Kota;;;;;
1;KOTA KEDIRI;0;6.340;0;6.340;SEDANG
2;KOTA BLITAR;0;3.257;0;3.257;SEDANG
3;KOTA MALANG;3.552;10.976;0;14.528;SEDANG
4;KOTA PROBOLINGGO;5.559;108;0;5.667;RENDAH
5;KOTA PASURUAN;0;3.529;0;3.529;SEDANG
6;KOTA MOJOKERTO;0;1.647;0;1.647;SEDANG
7;KOTA MADIUN;0;3.329;0;3.329;SEDANG
8;KOTA SURABAYA;0;35.054;0;35.054;SEDANG
9;KOTA BATU;0;13.674;0;13.674;SEDANG
;Provinsi Jawa Timur;401.296;4.005.563;373.053;4.779.912;TINGGI
