No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas
A;Kabupaten;;;;;
1;PACITAN;0;5.655;176;5.831;SEDANG
2;PONOROGO;0;44.172;0;44.172;SEDANG
3;TRENGGALEK;0;21.562;202;21.763;SEDANG
4;TULUNGAGUNG;0;37.276;40;37.316;SEDANG
5;BLITAR;0;2.183;0;2.183;SEDANG
6;KEDIRI;0;37.822;0;37.822;SEDANG
7;MALANG;0;3.623;150;3.772;SEDANG
8;LUMAJANG;0;39.794;3.365;43.159;SEDANG
9;JEMBER;0;90.300;8.260;98.561;TINGGI
10;BANYUWANGI;0;105.744;9.686;115.430;SEDANG
11;BONDOWOSO;0;8.348;0;8.348;SEDANG
12;SITUBONDO;0;32.935;2.656;35.591;SEDANG
13;PROBOLINGGO;0;40.296;1.253;41.549;SEDANG
14;PASURUAN;0;13.477;316;13.793;SEDANG
15;SIDOARJO;0;61.947;666;62.613;SEDANG
16;MOJOKERTO;0;15.399;0;15.399;SEDANG
17;JOMBANG;0;54.574;0;54.574;SEDANG
18;NGANJUK;0;52.921;0;52.921;SEDANG
19;MADIUN;0;38.167;0;38.167;SEDANG
20;MAGETAN;0;20.989;0;20.989;SEDANG
21;NGAWI;0;24.176;0;24.176;SEDANG
22;BOJONEGORO;0;38.019;0;38.019;SEDANG
23;TUBAN;1.387;26.617;693;28.697;SEDANG
24;LAMONGAN;459;73.408;349;74.216;SEDANG
25;GRESIK;0;57.568;1.353;58.921;SEDANG
26;BANGKALAN;3.252;15.963;733;19.948;SEDANG
27;SAMPANG;2.926;13.584;1.266;17.776;TINGGI
28;PAMEKASAN;3.041;6.436;524;10.001;TINGGI
29;SUMENEP;4.566;7.918;516;13.000;SEDANG
B;Kota;;;;;
1;KOTA KEDIRI;0;4.306;0;4.306;SEDANG
2;KOTA PROBOLINGGO;0;5.302;213;5.515;SEDANG
3;KOTA PASURUAN;0;2.202;124;2.326;SEDANG
4;KOTA MOJOKERTO;0;1.627;0;1.627;SEDANG
5;KOTA MADIUN;0;3.329;0;3.329;SEDANG
6;KOTA SURABAYA;0;27.700;972;28.671;SEDANG
;Provinsi Jawa Timur;15.632;1.035.341;33.511;1.084.483;TINGGI
