No;Kabupaten/Kota;Bahaya Luas (Ha) Rendah;Bahaya Luas (Ha) Sedang;Bahaya Luas (Ha) Tinggi;Bahaya Luas (Ha) Total;Kelas Bahaya
A;Kabupaten;;;;;
1;PACITAN;3.507;30.439;89.914;123.860;TINGGI
2;PONOROGO;2.251;9.105;55.552;66.908;TINGGI
3;TRENGGALEK;3.619;17.012;69.556;90.187;TINGGI
4;TULUNGAGUNG;4.175;19.140;26.396;49.711;TINGGI
5;BLITAR;4.919;15.723;27.463;48.104;TINGGI
6;KEDIRI;1.608;5.927;20.169;27.704;TINGGI
7;MALANG;14.246;54.421;102.633;171.300;TINGGI
8;LUMAJANG;4.196;12.319;40.315;56.829;TINGGI
9;JEMBER;5.020;20.283;97.642;122.945;TINGGI
10;BANYUWANGI;15.974;69.241;121.034;206.248;TINGGI
11;BONDOWOSO;4.808;21.329;50.676;76.812;TINGGI
12;SITUBONDO;4.635;29.274;43.947;77.857;TINGGI
13;PROBOLINGGO;4.065;13.972;56.400;74.436;TINGGI
14;PASURUAN;2.361;3.485;37.417;43.263;TINGGI
15;MOJOKERTO;611;2.026;15.934;18.570;TINGGI
16;JOMBANG;1.924;5.185;8.883;15.992;TINGGI
17;NGANJUK;2.194;5.831;14.206;22.232;TINGGI
18;MADIUN;2.061;5.247;14.442;21.750;TINGGI
19;MAGETAN;1.320;9.421;6.793;17.534;TINGGI
20;NGAWI;556;4.994;2.005;7.556;TINGGI
21;BOJONEGORO;5.079;11.532;7.513;24.124;TINGGI
22;TUBAN;1.619;1.544;6.743;9.906;TINGGI
23;LAMONGAN;75;106;187;368;TINGGI
24;GRESIK;2.034;10.878;0;12.912;SEDANG
25;BANGKALAN;353;394;1.201;1.949;TINGGI
26;SAMPANG;859;972;3.591;5.422;TINGGI
27;PAMEKASAN;1.063;1.087;3.732;5.882;TINGGI
28;SUMENEP;1.914;6.070;4.646;12.630;TINGGI
B;Kota;;;;;
1;KOTA KEDIRI;7;27;280;314;TINGGI
2;KOTA MALANG;38;24;0;63;RENDAH
3;KOTA BATU;478;3.121;5.024;8.624;TINGGI
;Provinsi Jawa Timur;97.570;390.129;934.293;1.421.993;TINGGI
